Date,Flow,validity
2015-10-01 04:00:00+00:00,45.0,1.0
2015-10-01 05:00:00+00:00,44.775,1.0
2015-10-01 06:00:00+00:00,43.3,1.0
2015-10-01 07:00:00+00:00,41.0,1.0
2015-10-01 08:00:00+00:00,38.05,1.0
2015-10-01 09:00:00+00:00,34.449999999999996,1.0
2015-10-01 10:00:00+00:00,31.075000000000003,1.0
2015-10-01 11:00:00+00:00,28.6,1.0
2015-10-01 12:00:00+00:00,26.25,1.0
2015-10-01 13:00:00+00:00,24.2,1.0
2015-10-01 14:00:00+00:00,22.625,1.0
2015-10-01 15:00:00+00:00,21.525,1.0
2015-10-01 16:00:00+00:00,20.424999999999997,1.0
2015-10-01 17:00:00+00:00,19.2,1.0
2015-10-01 18:00:00+00:00,18.425,1.0
2015-10-01 19:00:00+00:00,17.55,1.0
2015-10-01 20:00:00+00:00,17.05,1.0
2015-10-01 21:00:00+00:00,16.4,1.0
2015-10-01 22:00:00+00:00,15.775,1.0
2015-10-01 23:00:00+00:00,15.3,1.0
2015-10-02 00:00:00+00:00,15.0,1.0
2015-10-02 01:00:00+00:00,14.6,1.0
2015-10-02 02:00:00+00:00,14.1,1.0
2015-10-02 03:00:00+00:00,14.1,1.0
2015-10-02 04:00:00+00:00,13.8,1.0
2015-10-02 05:00:00+00:00,13.399999999999999,1.0
2015-10-02 06:00:00+00:00,13.1,1.0
2015-10-02 07:00:00+00:00,12.9,1.0
2015-10-02 08:00:00+00:00,12.7,1.0
2015-10-02 09:00:00+00:00,12.3,1.0
2015-10-02 10:00:00+00:00,12.1,1.0
2015-10-02 11:00:00+00:00,12.0,1.0
2015-10-02 12:00:00+00:00,11.7,1.0
2015-10-02 13:00:00+00:00,11.549999999999999,1.0
2015-10-02 14:00:00+00:00,11.475,1.0
2015-10-02 15:00:00+00:00,11.4,1.0
2015-10-02 16:00:00+00:00,11.4,1.0
2015-10-02 17:00:00+00:00,11.4,1.0
2015-10-02 18:00:00+00:00,11.2,1.0
2015-10-02 19:00:00+00:00,11.1,1.0
2015-10-02 20:00:00+00:00,11.0,1.0
2015-10-02 21:00:00+00:00,11.0,1.0
2015-10-02 22:00:00+00:00,11.0,1.0
2015-10-02 23:00:00+00:00,10.7,1.0
2015-10-03 00:00:00+00:00,10.7,1.0
2015-10-03 01:00:00+00:00,10.7,1.0
2015-10-03 02:00:00+00:00,10.3,1.0
2015-10-03 03:00:00+00:00,10.3,1.0
2015-10-03 04:00:00+00:00,10.3,1.0
2015-10-03 05:00:00+00:00,10.3,1.0
2015-10-03 06:00:00+00:00,10.3,1.0
2015-10-03 07:00:00+00:00,10.135,1.0
2015-10-03 08:00:00+00:00,9.97,1.0
2015-10-03 09:00:00+00:00,10.3,1.0
2015-10-03 10:00:00+00:00,10.3,1.0
2015-10-03 11:00:00+00:00,10.3,1.0
2015-10-03 12:00:00+00:00,10.3,1.0
2015-10-03 13:00:00+00:00,10.3,1.0
2015-10-03 14:00:00+00:00,10.3,1.0
2015-10-03 15:00:00+00:00,10.3,1.0
2015-10-03 16:00:00+00:00,10.3,1.0
2015-10-03 17:00:00+00:00,10.3,1.0
2015-10-03 18:00:00+00:00,10.3,1.0
2015-10-03 19:00:00+00:00,10.0525,1.0
2015-10-03 20:00:00+00:00,9.97,1.0
2015-10-03 21:00:00+00:00,9.97,1.0
2015-10-03 22:00:00+00:00,9.887500000000001,1.0
2015-10-03 23:00:00+00:00,9.7225,1.0
2015-10-04 00:00:00+00:00,9.7225,1.0
2015-10-04 01:00:00+00:00,9.64,1.0
2015-10-04 02:00:00+00:00,9.64,1.0
2015-10-04 03:00:00+00:00,9.64,1.0
2015-10-04 04:00:00+00:00,9.64,1.0
2015-10-04 05:00:00+00:00,9.32,1.0
2015-10-04 06:00:00+00:00,9.32,1.0
2015-10-04 07:00:00+00:00,9.32,1.0
2015-10-04 08:00:00+00:00,9.08,1.0
2015-10-04 09:00:00+00:00,9.0,1.0
2015-10-04 10:00:00+00:00,9.0,1.0
2015-10-04 11:00:00+00:00,9.0,1.0
2015-10-04 12:00:00+00:00,9.0,1.0
2015-10-04 13:00:00+00:00,8.91,1.0
2015-10-04 14:00:00+00:00,8.64,1.0
2015-10-04 15:00:00+00:00,8.64,1.0
2015-10-04 16:00:00+00:00,8.64,1.0
2015-10-04 17:00:00+00:00,8.64,1.0
2015-10-04 18:00:00+00:00,8.5525,1.0
2015-10-04 19:00:00+00:00,8.29,1.0
2015-10-04 20:00:00+00:00,8.29,1.0
2015-10-04 21:00:00+00:00,8.29,1.0
2015-10-04 22:00:00+00:00,8.29,1.0
2015-10-04 23:00:00+00:00,8.12,1.0
2015-10-05 00:00:00+00:00,8.035,1.0
2015-10-05 01:00:00+00:00,7.95,1.0
2015-10-05 02:00:00+00:00,7.95,1.0
2015-10-05 03:00:00+00:00,7.95,1.0
2015-10-05 04:00:00+00:00,7.87,1.0
2015-10-05 05:00:00+00:00,7.63,1.0
2015-10-05 06:00:00+00:00,7.63,1.0
2015-10-05 07:00:00+00:00,7.39,1.0
2015-10-05 08:00:00+00:00,7.2325,1.0
2015-10-05 09:00:00+00:00,7.0,1.0
2015-10-05 10:00:00+00:00,7.0,1.0
2015-10-05 11:00:00+00:00,6.925,1.0
2015-10-05 12:00:00+00:00,7.0,1.0
2015-10-05 13:00:00+00:00,7.0,1.0
2015-10-05 14:00:00+00:00,7.0,1.0
2015-10-05 15:00:00+00:00,6.925,1.0
2015-10-05 16:00:00+00:00,6.7,1.0
2015-10-05 17:00:00+00:00,6.7,1.0
2015-10-05 18:00:00+00:00,6.7,1.0
2015-10-05 19:00:00+00:00,6.7,1.0
2015-10-05 20:00:00+00:00,6.7,1.0
2015-10-05 21:00:00+00:00,6.7,1.0
2015-10-05 22:00:00+00:00,6.7,1.0
2015-10-05 23:00:00+00:00,6.7749999999999995,1.0
2015-10-06 00:00:00+00:00,6.85,1.0
2015-10-06 01:00:00+00:00,6.7749999999999995,1.0
2015-10-06 02:00:00+00:00,6.7,1.0
2015-10-06 03:00:00+00:00,6.7,1.0
2015-10-06 04:00:00+00:00,6.7,1.0
2015-10-06 05:00:00+00:00,6.7,1.0
2015-10-06 06:00:00+00:00,6.7,1.0
2015-10-06 07:00:00+00:00,6.572500000000001,1.0
2015-10-06 08:00:00+00:00,6.53,1.0
2015-10-06 09:00:00+00:00,6.4875,1.0
2015-10-06 10:00:00+00:00,6.487500000000001,1.0
2015-10-06 11:00:00+00:00,6.4025,1.0
2015-10-06 12:00:00+00:00,6.36,1.0
2015-10-06 13:00:00+00:00,6.36,1.0
2015-10-06 14:00:00+00:00,6.36,1.0
2015-10-06 15:00:00+00:00,6.36,1.0
2015-10-06 16:00:00+00:00,6.36,1.0
2015-10-06 17:00:00+00:00,6.232500000000001,1.0
2015-10-06 18:00:00+00:00,6.36,1.0
2015-10-06 19:00:00+00:00,6.19,1.0
2015-10-06 20:00:00+00:00,6.3175,1.0
2015-10-06 21:00:00+00:00,6.36,1.0
2015-10-06 22:00:00+00:00,6.3175,1.0
2015-10-06 23:00:00+00:00,6.36,1.0
2015-10-07 00:00:00+00:00,6.36,1.0
2015-10-07 01:00:00+00:00,6.36,1.0
2015-10-07 02:00:00+00:00,6.36,1.0
2015-10-07 03:00:00+00:00,6.36,1.0
2015-10-07 04:00:00+00:00,6.36,1.0
2015-10-07 05:00:00+00:00,6.232500000000001,1.0
2015-10-07 06:00:00+00:00,6.19,1.0
2015-10-07 07:00:00+00:00,6.1049999999999995,1.0
2015-10-07 08:00:00+00:00,6.02,1.0
2015-10-07 09:00:00+00:00,6.02,1.0
2015-10-07 10:00:00+00:00,5.8999999999999995,1.0
2015-10-07 11:00:00+00:00,5.86,1.0
2015-10-07 12:00:00+00:00,5.86,1.0
2015-10-07 13:00:00+00:00,5.86,1.0
2015-10-07 14:00:00+00:00,5.86,1.0
2015-10-07 15:00:00+00:00,5.9,1.0
2015-10-07 16:00:00+00:00,6.02,1.0
2015-10-07 17:00:00+00:00,6.02,1.0
2015-10-07 18:00:00+00:00,6.02,1.0
2015-10-07 19:00:00+00:00,5.9799999999999995,1.0
2015-10-07 20:00:00+00:00,5.86,1.0
2015-10-07 21:00:00+00:00,5.9799999999999995,1.0
2015-10-07 22:00:00+00:00,6.402500000000001,1.0
2015-10-07 23:00:00+00:00,6.36,1.0
2015-10-08 00:00:00+00:00,6.1475,1.0
2015-10-08 01:00:00+00:00,6.02,1.0
2015-10-08 02:00:00+00:00,5.9799999999999995,1.0
2015-10-08 03:00:00+00:00,5.86,1.0
2015-10-08 04:00:00+00:00,5.78,1.0
2015-10-08 05:00:00+00:00,5.7,1.0
2015-10-08 06:00:00+00:00,5.7,1.0
2015-10-08 07:00:00+00:00,5.7,1.0
2015-10-08 08:00:00+00:00,5.7,1.0
2015-10-08 09:00:00+00:00,5.7,1.0
2015-10-08 10:00:00+00:00,5.7,1.0
2015-10-08 11:00:00+00:00,5.7,1.0
2015-10-08 12:00:00+00:00,5.66,1.0
2015-10-08 13:00:00+00:00,5.54,1.0
2015-10-08 14:00:00+00:00,5.62,1.0
2015-10-08 15:00:00+00:00,5.54,1.0
2015-10-08 16:00:00+00:00,5.54,1.0
2015-10-08 17:00:00+00:00,5.54,1.0
2015-10-08 18:00:00+00:00,5.54,1.0
2015-10-08 19:00:00+00:00,5.54,1.0
2015-10-08 20:00:00+00:00,5.54,1.0
2015-10-08 21:00:00+00:00,5.7,1.0
2015-10-08 22:00:00+00:00,5.7,1.0
2015-10-08 23:00:00+00:00,5.7,1.0
2015-10-09 00:00:00+00:00,5.7,1.0
2015-10-09 01:00:00+00:00,5.7,1.0
2015-10-09 02:00:00+00:00,5.7,1.0
2015-10-09 03:00:00+00:00,5.7,1.0
2015-10-09 04:00:00+00:00,5.66,1.0
2015-10-09 05:00:00+00:00,5.54,1.0
2015-10-09 06:00:00+00:00,5.54,1.0
2015-10-09 07:00:00+00:00,5.54,1.0
2015-10-09 08:00:00+00:00,5.54,1.0
2015-10-09 09:00:00+00:00,5.42,1.0
2015-10-09 10:00:00+00:00,5.38,1.0
2015-10-09 11:00:00+00:00,5.38,1.0
2015-10-09 12:00:00+00:00,5.38,1.0
2015-10-09 13:00:00+00:00,5.38,1.0
2015-10-09 14:00:00+00:00,5.38,1.0
2015-10-09 15:00:00+00:00,5.38,1.0
2015-10-09 16:00:00+00:00,5.3525,1.0
2015-10-09 17:00:00+00:00,5.27,1.0
2015-10-09 18:00:00+00:00,5.27,1.0
2015-10-09 19:00:00+00:00,5.38,1.0
2015-10-09 20:00:00+00:00,5.38,1.0
2015-10-09 21:00:00+00:00,5.46,1.0
2015-10-09 22:00:00+00:00,5.94,1.0
2015-10-09 23:00:00+00:00,5.8999999999999995,1.0
2015-10-10 00:00:00+00:00,5.86,1.0
2015-10-10 01:00:00+00:00,5.82,1.0
2015-10-10 02:00:00+00:00,5.74,1.0
2015-10-10 03:00:00+00:00,5.7,1.0
2015-10-10 04:00:00+00:00,5.7,1.0
2015-10-10 05:00:00+00:00,5.7,1.0
2015-10-10 06:00:00+00:00,5.58,1.0
2015-10-10 07:00:00+00:00,5.54,1.0
2015-10-10 08:00:00+00:00,5.58,1.0
2015-10-10 09:00:00+00:00,5.7,1.0
2015-10-10 10:00:00+00:00,5.78,1.0
2015-10-10 11:00:00+00:00,5.86,1.0
2015-10-10 12:00:00+00:00,5.86,1.0
2015-10-10 13:00:00+00:00,6.02,1.0
2015-10-10 14:00:00+00:00,6.02,1.0
2015-10-10 15:00:00+00:00,6.147500000000001,1.0
2015-10-10 16:00:00+00:00,6.2325,1.0
2015-10-10 17:00:00+00:00,6.36,1.0
2015-10-10 18:00:00+00:00,6.53,1.0
2015-10-10 19:00:00+00:00,6.6575,1.0
2015-10-10 20:00:00+00:00,6.925,1.0
2015-10-10 21:00:00+00:00,7.154999999999999,1.0
2015-10-10 22:00:00+00:00,7.31,1.0
2015-10-10 23:00:00+00:00,7.63,1.0
2015-10-11 00:00:00+00:00,7.55,1.0
2015-10-11 01:00:00+00:00,7.31,1.0
2015-10-11 02:00:00+00:00,7.31,1.0
2015-10-11 03:00:00+00:00,7.31,1.0
2015-10-11 04:00:00+00:00,7.31,1.0
2015-10-11 05:00:00+00:00,7.31,1.0
2015-10-11 06:00:00+00:00,7.0775,1.0
2015-10-11 07:00:00+00:00,7.0,1.0
2015-10-11 08:00:00+00:00,6.925,1.0
2015-10-11 09:00:00+00:00,6.7,1.0
2015-10-11 10:00:00+00:00,6.615,1.0
2015-10-11 11:00:00+00:00,6.53,1.0
2015-10-11 12:00:00+00:00,6.487500000000001,1.0
2015-10-11 13:00:00+00:00,6.36,1.0
2015-10-11 14:00:00+00:00,6.36,1.0
2015-10-11 15:00:00+00:00,6.275,1.0
2015-10-11 16:00:00+00:00,6.19,1.0
2015-10-11 17:00:00+00:00,6.19,1.0
2015-10-11 18:00:00+00:00,6.19,1.0
2015-10-11 19:00:00+00:00,6.19,1.0
2015-10-11 20:00:00+00:00,6.19,1.0
2015-10-11 21:00:00+00:00,6.19,1.0
2015-10-11 22:00:00+00:00,6.19,1.0
2015-10-11 23:00:00+00:00,6.19,1.0
2015-10-12 00:00:00+00:00,6.19,1.0
2015-10-12 01:00:00+00:00,6.02,1.0
2015-10-12 02:00:00+00:00,6.02,1.0
2015-10-12 03:00:00+00:00,6.02,1.0
2015-10-12 04:00:00+00:00,6.02,1.0
2015-10-12 05:00:00+00:00,6.02,1.0
2015-10-12 06:00:00+00:00,6.02,1.0
2015-10-12 07:00:00+00:00,5.86,1.0
2015-10-12 08:00:00+00:00,5.86,1.0
2015-10-12 09:00:00+00:00,5.86,1.0
2015-10-12 10:00:00+00:00,5.86,1.0
2015-10-12 11:00:00+00:00,5.86,1.0
2015-10-12 12:00:00+00:00,5.86,1.0
2015-10-12 13:00:00+00:00,5.86,1.0
2015-10-12 14:00:00+00:00,5.86,1.0
2015-10-12 15:00:00+00:00,5.78,1.0
2015-10-12 16:00:00+00:00,5.7,1.0
2015-10-12 17:00:00+00:00,5.7,1.0
2015-10-12 18:00:00+00:00,5.7,1.0
2015-10-12 19:00:00+00:00,5.7,1.0
2015-10-12 20:00:00+00:00,5.7,1.0
2015-10-12 21:00:00+00:00,5.7,1.0
2015-10-12 22:00:00+00:00,5.7,1.0
2015-10-12 23:00:00+00:00,5.7,1.0
2015-10-13 00:00:00+00:00,5.7,1.0
2015-10-13 01:00:00+00:00,5.74,1.0
2015-10-13 02:00:00+00:00,6.15,1.0
2015-10-13 03:00:00+00:00,8.0475,1.0
2015-10-13 04:00:00+00:00,9.32,1.0
2015-10-13 05:00:00+00:00,9.16,1.0
2015-10-13 06:00:00+00:00,8.465,1.0
2015-10-13 07:00:00+00:00,7.95,1.0
2015-10-13 08:00:00+00:00,7.55,1.0
2015-10-13 09:00:00+00:00,7.0024999999999995,1.0
2015-10-13 10:00:00+00:00,6.615,1.0
2015-10-13 11:00:00+00:00,6.4025,1.0
2015-10-13 12:00:00+00:00,6.1049999999999995,1.0
2015-10-13 13:00:00+00:00,6.02,1.0
2015-10-13 14:00:00+00:00,5.9799999999999995,1.0
2015-10-13 15:00:00+00:00,5.86,1.0
2015-10-13 16:00:00+00:00,5.86,1.0
2015-10-13 17:00:00+00:00,5.7,1.0
2015-10-13 18:00:00+00:00,5.7,1.0
2015-10-13 19:00:00+00:00,5.7,1.0
2015-10-13 20:00:00+00:00,5.7,1.0
2015-10-13 21:00:00+00:00,5.7,1.0
2015-10-13 22:00:00+00:00,5.7,1.0
2015-10-13 23:00:00+00:00,5.7,1.0
2015-10-14 00:00:00+00:00,5.7,1.0
2015-10-14 01:00:00+00:00,5.7,1.0
2015-10-14 02:00:00+00:00,5.58,1.0
2015-10-14 03:00:00+00:00,5.54,1.0
2015-10-14 04:00:00+00:00,5.66,1.0
2015-10-14 05:00:00+00:00,5.62,1.0
2015-10-14 06:00:00+00:00,5.54,1.0
2015-10-14 07:00:00+00:00,5.54,1.0
2015-10-14 08:00:00+00:00,5.54,1.0
2015-10-14 09:00:00+00:00,5.54,1.0
2015-10-14 10:00:00+00:00,5.58,1.0
2015-10-14 11:00:00+00:00,5.54,1.0
2015-10-14 12:00:00+00:00,5.5,1.0
2015-10-14 13:00:00+00:00,5.38,1.0
2015-10-14 14:00:00+00:00,5.38,1.0
2015-10-14 15:00:00+00:00,5.5,1.0
2015-10-14 16:00:00+00:00,5.42,1.0
2015-10-14 17:00:00+00:00,5.42,1.0
2015-10-14 18:00:00+00:00,5.38,1.0
2015-10-14 19:00:00+00:00,5.38,1.0
2015-10-14 20:00:00+00:00,5.38,1.0
2015-10-14 21:00:00+00:00,5.38,1.0
2015-10-14 22:00:00+00:00,5.325,1.0
2015-10-14 23:00:00+00:00,5.27,1.0
2015-10-15 00:00:00+00:00,5.297499999999999,1.0
2015-10-15 01:00:00+00:00,5.42,1.0
2015-10-15 02:00:00+00:00,5.58,1.0
2015-10-15 03:00:00+00:00,5.78,1.0
2015-10-15 04:00:00+00:00,6.02,1.0
2015-10-15 05:00:00+00:00,6.0625,1.0
2015-10-15 06:00:00+00:00,6.19,1.0
2015-10-15 07:00:00+00:00,6.19,1.0
2015-10-15 08:00:00+00:00,6.19,1.0
2015-10-15 09:00:00+00:00,6.19,1.0
2015-10-15 10:00:00+00:00,6.02,1.0
2015-10-15 11:00:00+00:00,5.9399999999999995,1.0
2015-10-15 12:00:00+00:00,5.82,1.0
2015-10-15 13:00:00+00:00,5.7,1.0
2015-10-15 14:00:00+00:00,5.7,1.0
2015-10-15 15:00:00+00:00,5.7,1.0
2015-10-15 16:00:00+00:00,5.7,1.0
2015-10-15 17:00:00+00:00,5.7,1.0
2015-10-15 18:00:00+00:00,5.7,1.0
2015-10-15 19:00:00+00:00,5.54,1.0
2015-10-15 20:00:00+00:00,5.54,1.0
2015-10-15 21:00:00+00:00,5.54,1.0
2015-10-15 22:00:00+00:00,5.54,1.0
2015-10-15 23:00:00+00:00,5.54,1.0
2015-10-16 00:00:00+00:00,5.54,1.0
2015-10-16 01:00:00+00:00,5.5,1.0
2015-10-16 02:00:00+00:00,5.38,1.0
2015-10-16 03:00:00+00:00,5.46,1.0
2015-10-16 04:00:00+00:00,5.42,1.0
2015-10-16 05:00:00+00:00,5.38,1.0
2015-10-16 06:00:00+00:00,5.38,1.0
2015-10-16 07:00:00+00:00,5.38,1.0
2015-10-16 08:00:00+00:00,5.38,1.0
2015-10-16 09:00:00+00:00,5.38,1.0
2015-10-16 10:00:00+00:00,5.38,1.0
2015-10-16 11:00:00+00:00,5.38,1.0
2015-10-16 12:00:00+00:00,5.38,1.0
2015-10-16 13:00:00+00:00,5.38,1.0
2015-10-16 14:00:00+00:00,5.38,1.0
